ID,Quelle,Thema,Befund,Art,Referenzstelle,Geprueft,Bewertung,Empfehlung,Meilenstein,Prioritaet,Status
FB-01,uart+servo,Zeilenfortsetzung,"Ausdruecke, Attributlisten und Methodenketten lassen sich nicht umbrechen; beide Treiber scheitern daran am Parser.",Sprachluecke,grammar/lexer.md L2.2; 2.3 channel_decl,"Bestaetigt: Fortsetzung gilt nur in offenen ( [ {. `with a = 1,\n b = 2` und `.method()` in der Folgezeile sind Fehler. Haeufigste Fehlerursache in beiden Dateien.","Echte Luecke. Beide Entwickler haben unabhaengig denselben Stil gewaehlt; bei 80-Zeichen-Zeilen und langen Attributlisten ist Umbrechen unvermeidlich. Der Formatter kann heute nichts umbrechen, was er nicht wieder einlesen koennte.","Erledigt: Lexerregel L2.2a — haengendes Komma am Zeilenende, oder Folgezeile, die mit `.`, einem Infix-Operator, `and`, `or` oder `with` beginnt. `-`/`~` (Vorzeichen) und `->`/`..` ausgenommen. Zehn Lexervektoren, Regel in grammar/lexer.md und 2.1, Formatter zieht die Fortsetzung zusammen.",M3,hoch,behoben 2026-09-10
FB-02,servo,Bitfelder ueber Skalaren,"`record ... with bits:` deklariert benannte Bitfelder, aber `s.flags.ready` ist kein gueltiger Zugriff.",Umsetzungsluecke,3.7 (Bitfelder mit Positionen),"Bestaetigt: `s.flags.ready` ergab `error[SC-3]: kein Zugriff `ready` auf `u16``. Die MIR trug `RecordDef.bits`, `layout.rs` prueft Ueberlappung (Pruefung 46) — nur das Lowering fehlte. Der Codec brauchte nichts: das Bitfeld ist eine Sicht auf den Traeger, den er ohnehin serialisiert.","Klare Umsetzungsluecke, keine Sprachfrage: die Referenz definiert es, M2 hat den Traeger gebaut und den Zugriff vergessen. Der Entwickler hat deshalb acht `if (sw & MASK) == PATTERN` von Hand geschrieben - genau der untypisierte Code, den 3.7 vermeiden soll.","Erledigt: Lesen senkt auf `bit`/`bits`, Schreiben auf `with_bit` (einzelnes Bit) beziehungsweise Maske und Einsetzen; beide Richtungen nennen bei einem Tippfehler die deklarierten Namen. 5 Tests in bitfields.rs, Zugriffsregeln in 3.7 ergaenzt. Kein neuer MIR-Knoten.",M2 (Nachtrag),hoch,behoben 2026-09-10
FB-03,uart,`bytes.push` liefert kein `bool`,"3.9 definiert `.push(x) -> bool`; die Umsetzung laesst `push` nur als Anweisung zu, der Rueckgabewert ist unerreichbar.",Umsetzungsluecke,"3.9 (bytes<N>, vec<T,N>)","Teils widerlegt: `ok = b.push(1)` auf einer schon deklarierten Stelle ging, `if b.push(1):` nicht — und `var ok = b.push(1)`, die Form aus dem Treiber, ebenfalls nicht.","Zwei verschiedene Dinge in einem Befund. Die Verschachtelung ist bewusst verboten: 4.4 verlangt seiteneffektfreie Ausdruecke, damit die Auswertungsreihenfolge irrelevant bleibt und jede Faultquelle eine Statement-Position hat. Die Deklaration mit Initialisierer war dagegen eine Luecke — sie ist selbst ein Statement, also kann sie Ziel des Aufrufs sein.","Erledigt: `var ok = b.push(x)` und `var v = inst.step(x)` senken als Methodenaufruf mit der neuen Variablen als Ziel; ein angegebener Typ wird geprueft, eine Methode ohne Ergebnis abgelehnt. 4.4 nennt die veraendernden Methoden jetzt beim Namen, 3.9 verweist darauf. Nebenbefund: Pruefung 7 und 15 zaehlten `o = b.push(x)` nicht als Schreibvorgang. 4 Tests.",M3,hoch,behoben 2026-09-10
FB-04,uart,`reader`/`writer` fehlen,3.9 und der Stufenplan fuehren `reader`/`writer` als v1-Kern; sie sind nicht implementiert.,Umsetzungsluecke,"3.9, 11.4, 15 (v1-Kern)","Bestaetigt und eingeordnet: `writer(b)` meldet `nicht definiert`. Der Grund ist aber nicht Vergesslichkeit — beide sind nach 11.4 Bloecke ueber `bytes<N>` und brauchen Konstantenvariablen in Generics (`block reader[const N]`, 3.12), die Abschnitt 15 selbst unter v1.1 fuehrt. In M2 waren sie nicht baubar. Die uebrige Standardbibliothek (lowpass, pid, …) fehlt aus demselben Grund ebenfalls.","Der Widerspruch lag in unseren Dokumenten, nicht in der Umsetzung: plan/features.csv hatte es richtig, die M2-Zeile in plan/plan.md war der Fehler. Praktisch wiegt die Luecke leichter als gedacht — `layout` mit `encode`/`decode`, `push` und Index-Schreiben deckt Kopf, Nutzlast und Pruefsumme ab; was fehlt, ist der laufende Cursor ueber ungleichen Feldern.","Erledigt: M2-Zeile in plan/plan.md korrigiert und begruendet, LIB-reader/-writer (und window_min, pid_i) auf v1.1 gestellt, LIB-clamp/-interp auf fertig. 3.9 nennt die Stufe und den Weg bis dahin; ein Test in wire.rs haelt fest, dass dieser Weg wirklich traegt.",M3,hoch,behoben 2026-09-10
FB-05,uart,Index-Schreiben auf `bytes<N>`,Der Entwickler hielt `b[i] = x` fuer unmoeglich und hat `with_byte` erfunden.,Umsetzungsluecke + Referenzluecke,"3.9 (bytes<N>), 2.3 lvalue","Teils widerlegt, teils bestaetigt: `b[0] = 7` besteht die Semantikpruefung, trapte aber zur Laufzeit mit `Bug(""Zuweisungsort in bytes"")` — `place_mut` kannte nur `Array` und `Vec`, nicht `Bytes`. 3.9 zaehlte zudem nur Index-*Lesen* auf.","Doppelter Befund: die Referenz nannte den Weg nicht, und er war ausserdem nur halb umgesetzt. Der Entwickler haette ihn also selbst dann nicht nutzen koennen, wenn er ihn gefunden haette. Backpatching (COBS, Laengenpraefix, CRC) ist die zentrale Aufgabe jedes Rahmungscodecs.","Erledigt: Schreibweg fuer `bytes` in `Ctx::assign` ergaenzt (Range-Fault wie beim Lesen), 3.9 um Index-Schreiben und Backpatching erweitert, zwei Regressionstests in semantics.rs.",sofort (Referenz),hoch,behoben 2026-09-10
FB-06,servo,"„untersucht heisst konsumiert"" wirkt je Maschine","Der Entwickler baute einen Router mit `pub var`, weil ein zweiter Konsument den Stream „schon verbraucht"" haette.",Referenzluecke,"8.6, 9.6 (cur[s, m])","Widerlegt: zwei Maschinen mit `on q as e:` sehen beide jedes Element (selbst nachgestellt, beide Zaehler laufen synchron). Jede Maschine hat ihren eigenen Cursor `cur[s, m]`.","Der Entwickler hat daraus ein Router-Muster mit handgeschriebenem „Flag gilt einen Tick"" abgeleitet und nennt es selbst fehleranfaellig. Die Formel in 9.6 sagt es, der Prosatext in 8.6 nicht deutlich genug.","In 8.6 einen Satz ergaenzen: der Cursor gehoert der Maschine, mehrere Konsumenten sehen unabhaengig voneinander jedes Element. Damit entfaellt das Router-Muster.",sofort (Referenz),hoch,behoben 2026-09-10
FB-07,uart+servo,Argumentfolge von `check … for d`,"Beide Treiber schreiben `check cond for d, ""msg""`; die Grammatik verlangt `check cond, ""msg"" for d`.",Referenzluecke,"2.3 check_stmt, 5.6","Bestaetigt: die Treiberform ergibt `error[P]: erwartet Zeilenende, gefunden `,``. Die Grammatikform uebersetzt.","Zwei unabhaengige Entwickler, derselbe Irrtum - das ist kein Zufall, sondern ein Hinweis, dass die natuerliche Lesart „Bedingung, Dauer, dann Meldung"" ist. Der Prosatext 5.6 zeigt die richtige Reihenfolge nur in einem Beispiel.","Guenstig: die Fehlermeldung des Parsers an dieser Stelle die richtige Reihenfolge nennen lassen. Teurer, aber nutzerfreundlicher: beide Reihenfolgen zulassen.",M3,mittel,behoben 2026-09-10
FB-08,servo,`.or()` auf Nicht-Float-Channels,"Unsicherheit, ob `.or()` auf einem Enum-Channel legal ist, weil Beispiele es nur bei Floats zeigen.",Referenzluecke,"3.5, 3.8",Widerlegt: `mode_in.or(OFF)` auf einem Enum-Channel uebersetzt fehlerfrei.,"Kleine, billige Doku-Luecke. Der Entwickler hat mehrfach gezoegert - das kostet Zeit, ohne dass etwas fehlt.",In 3.5 ein Beispiel mit Enum- und Bool-Channel ergaenzen.,sofort (Referenz),niedrig,behoben 2026-09-10
FB-09,servo,Phase von `every` im maschinenweiten `loop:`,"Unklar, ob `next` ueber Zustandswechsel und Faults hinweg weiterlaeuft.",Referenzluecke,5.8,"Umgesetzt wie vom Entwickler vermutet: ein maschinenweites `every` misst gegen `now` (`every_clock`), ein zustandsgebundenes gegen `time_in_state`.",Das Verhalten ist richtig und war eine bewusste Entscheidung aus M1. Es steht nur nicht im Text; der Entwickler hat es sich erschlossen und war unsicher.,"Einen Satz in 5.8 ergaenzen: im maschinenweiten `loop:` ueberlebt die Phase Zustandswechsel und Faults, weil `now` die Uhr ist.",sofort (Referenz),niedrig,behoben 2026-09-10
FB-10,uart,Zulassungskriterium der Treiberstufe,"Ein `driver machine` kann ein Geraet nur pollen, wenn FIFO-Tiefe/Byterate > T0 + Jitter. Das steht nirgends.",Sprachluecke,"15 (v1.2), 8.10, 7.2","Bestaetigt: `port` meldet korrekt v1.2. Zu `driver machine` gibt es ausser einer Zeile im Stufenplan keinen Text - kein Zulassungskriterium, keine Pruefung.","Der schwerwiegendste Befund des UART-Berichts, und er stimmt: bei 921600 Bd und 16-Byte-FIFO bleiben gegen einen 100-us-Tick 73 us Reserve. Der Treiber laeuft dann in 99,9 Prozent der Ticks - genau die Fehlerklasse, die „if it compiles it cannot crash"" ausschliessen soll. Compiler kennt T0; FIFO-Tiefe steht in der Hardware-Konfiguration (8.10).","Entworfen in plan/feedback-design.md 2: statische Pruefung SC-59 mit dem Urteil ""nicht pollbar"". Regel `fifo_depth/byte_rate >= P_m + jitter + wcet_poll`, alle vier Groessen misst `driver-test` ohnehin (13.8) — die Pruefung verlangt keine neue Eingabe. Fehlt eine, ist sie nicht entscheidbar und verlangt Messung oder `with polling = unchecked` im Lauf-Header. Fehler, nicht Warnung, mit drei Auswegen. In 10.1 als Pruefung 59 aufgenommen, SC-59 in der Inventur (M8).",M8 (mit port),hoch,entworfen 2026-09-11
